12eward,Edit ,Hampton Roads,VA,USA,Non-owner,31 Mar 2016,Eastern Time,11:00 PM,Online,,,,,,,,,,May 2018 - Jul 2018,Early 2019,Late 2018,RWD,White,PUP,LR,Not yet invited,4 Apr 2018,,,, Not yet invited,,,
14Shutter,Edit ,Los Angeles,CA,USA,Non-owner,31 Mar 2016,Pacific Time,7:30 PM,Online,6 Apr 2018,6 Apr 2018,,,,,Solid Black,18 inch Aero,Enhanced Autopilot,Apr 2018 - Jun 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,7 Apr 2018,,,,Configured,,,
1MJEF,Edit ,Toronto,ON,Canada,Non-owner,31 Mar 2016,Pacific Time,10:00 PM,Online,,,,,,,Red Multi-Coat,19 inch Sport,Full Self-Driving,Late 2018,Mid 2018,Mid 2018,AWD,Black,PUP,LR,,13 Mar 2018,,,, Not yet invited,,,
1q2w3,Edit,Silver Spring,MD,USA,Non-owner,3 Apr 2016,Pacific Time,1:55 PM,Online,,,,,,,,,,,,,,,,,,31 Jan 2018,,,, Not yet invited,,,
1schuldb,Edit ,Provo,UT,USA,Non-owner,31 Mar 2016,Pacific Time,6:15 PM,Online,,,,,,,,18 inch Aero,Enhanced Autopilot,Apr 2018 - Jun 2018,Late 2018,Late 2018,RWD,Black,,SR,,9 Mar 2018,,,, Not yet invited,,,
1ucifer,Edit ,SF Bay Area,CA,USA,Non-owner,31 Mar 2016,Pacific Time,11:30 AM,In-Store,22 Mar 2018,22 Mar 2018,149xx,14955,12 Apr 2018,,Pearl White Multi-Coat,18 inch Aero,None,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,12 Apr 2018,,,,Configured,,21 days,
2thless,Edit ,Sugar Land,TX,USA,Non-owner,31 Mar 2016,Central Time,10:30 AM,In-Store,6 Apr 2018,6 Apr 2018,,,,,Pearl White Multi-Coat,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Mid 2018,RWD,Black,PUP,LR,,7 Apr 2018,,,,Configured,,,
311Hokie,Edit ,Bethesda,MD,USA,Non-owner,31 Mar 2016,Eastern Time,10:40 AM,In-Store,22 Mar 2018,26 Mar 2018,,,,,Midnight Silver Metallic,18 inch Aero,Full Self-Driving,,Late 2018,Mid 2018,RWD,Black,PUP,LR,,27 Mar 2018,,,,Configured,,,
33,Edit ,,ON,Canada,Non-owner,4 Jul 2016,Eastern Time,1:00 AM,Online,,,,,,,Silver Metallic,18 inch Aero,None,Mid 2018,,,RWD,Black,PUP,LR,,9 Apr 2018,,,, Not yet invited,,,
34pfeif,Edit ,Atlanta,GA,USA,Non-owner,31 Mar 2016,Pacific Time,10:15 AM,In-Store,24 Mar 2018,,,,,,,,,,,,,,,,,24 Mar 2018,,,,.Deferring,,,
3LECTRC,Edit ,Austin,TX,USA,Non-owner,31 Mar 2016,Central Time,1:50 PM,In-Store,,,,,,,Red Multi-Coat,18 inch Aero,None,,Late 2018,,RWD,Cream,PUP,SR,,26 Mar 2018,,,, Not yet invited,,,
3Model3s,Edit,San Ramon,CA,USA,Non-owner,31 Mar 2016,Pacific Time,11:30 AM,In-Store,,,,,,,Deep Blue Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,,,,,,,,31 Jan 2018,,,, Not yet invited,,,
3unpwr,Edit ,Fort Worth,TX,USA,Owner or previous owner,31 Mar 2016,Pacific Time,10:00 AM,In-Store,,17 Jan 2018,46xx,4655,13 Feb 2018,14 Mar 2018,Deep Blue Metallic,19 inch Sport,Full Self-Driving,,,,RWD,Black,PUP,LR,,16 Mar 2018,,,14 Mar 2018,Delivered,56 days,27 days,29 days
3unpwr (2),Edit ,Fort Worth,TX,USA,Owner or previous owner,31 Mar 2016,Pacific Time,10:00 AM,In-Store,4 Feb 2018,,,,,,,,,Early 2018,Late 2018,Mid 2018,,,,,,16 Mar 2018,,,,.Deferring,,,
3Victoria,Edit ,Victoria,BC,Canada,Non-owner,31 Mar 2016,Pacific Time,8:30 PM,Online,27 Mar 2018,,,,,,,,,Mid 2018,Early 2019,Mid 2018,AWD,,PUP,SR,AWD SR,29 Mar 2018,,,,.Deferring,,,
3Victoria (2),Edit ,Victoria,BC,Canada,Non-owner,28 May 2016,Pacific Time,8:00 PM,Online,,,,,,,,,,,,,,,,,,29 Mar 2018,,,, Not yet invited,,,
4bogdan,Edit,San Jose,CA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,8:00 PM,Online,22 Dec 2017,22 Dec 2017,23xx,2355,26 Dec 2017,2 Jan 2018,Deep Blue Metallic,18 inch Aero,Enhanced Autopilot,,,,,,,,,31 Jan 2018,,,2 Jan 2018,Delivered,11 days,4 days,7 days
60's guy,Edit,Burlingame,CA,USA,Owner or previous owner,1 Apr 2016,Pacific Time,,Online,4 Jan 2018,4 Jan 2018,,,,,Pearl White Multi-Coat,18 inch Aero,Full Self-Driving,,,,,,,,,31 Jan 2018,,,6 Feb 2018,Delivered,,,
6p6ss6,Edit,San Francisco,CA,USA,Non-owner,4 Apr 2016,Pacific Time,12:35 PM,Online,,,,,,,,,,Jun 2018 - Aug 2018,,,,,,,,31 Jan 2018,,,, Not yet invited,,,
6spdvtec,Edit ,Little Falls,NJ,USA,Non-owner,31 Mar 2016,Eastern Time,9:30 AM,In-Store,22 Mar 2018,22 Mar 2018,1316x,13165,3 Apr 2018,28 Apr 2018,Deep Blue Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,,,RWD,Black,PUP,LR,,4 Apr 2018,,,,Del scheduled,37 days,12 days,25 days
81Virago,Edit,Golden,CO,USA,Owner or previous owner,31 Mar 2016,Pacific Time,11:00 AM,In-Store,18 Jan 2018,18 Jan 2018,50xx,5055,29 Jan 2018,2 Feb 2018,Midnight Silver Metallic,18 inch Aero,None,,,,,,,,,31 Jan 2018,,,2 Feb 2018,Delivered,15 days,11 days,4 days
9erdog,Edit ,Cypress,CA,USA,Non-owner,31 Mar 2016,Pacific Time,8:00 PM,Online,,,,,,,Deep Blue Metallic,18 inch Aero,Enhanced Autopilot,May 2018 - Jul 2018,Early 2019,Late 2018,RWD,Black,PUP,LR,,26 Mar 2018,,,, Not yet invited,,,
A_Handler,Edit ,Atlanta,GA,USA,Non-owner,31 Mar 2016,GMT,8:15 AM,In-Store,23 Feb 2018,23 Feb 2018,102xx,10255,3 Apr 2018,13 Apr 2018,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Mid 2018,RWD,Black,PUP,LR,,12 Apr 2018,,,13 Apr 2018,Delivered,49 days,39 days,10 days
a_shit_poster,Edit ,,CA,USA,Non-owner,31 Mar 2016,Pacific Time,11:00 AM,In-Store,26 Mar 2018,26 Mar 2018,,,,,,,,Feb 2018 - Apr 2018,Late 2018,Mid 2018,,,,,,26 Mar 2018,,,,Configured,,,
A-A-RON,Edit ,Raleigh,NC,USA,Non-owner,31 Mar 2016,Eastern Time,11:45 AM,In-Store,22 Mar 2018,22 Mar 2018,166xx,16655,11 Apr 2018,,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,11 Apr 2018,,,,Configured,,20 days,
A-nonymous,Edit,,NC,USA,Non-owner,7 Nov 2016,Pacific Time,11:00 AM,Online,,,,,,,,,,,,,,,,,,31 Jan 2018,,,, Not yet invited,,,
A2345,Edit ,Pleasanton,CA,USA,Non-owner,31 Mar 2016,Pacific Time,12:00 PM,In-Store,10 Apr 2018,10 Apr 2018,,,,,Midnight Silver Metallic,18 inch Aero,Full Self-Driving,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,10 Apr 2018,,,,Configured,,,
a4l,Edit ,"Reston, VA",VA,USA,Non-owner,31 Mar 2016,Eastern Time,10:30 AM,In-Store,6 Apr 2018,6 Apr 2018,,,,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,,,RWD,Black,PUP,LR,,6 Apr 2018,,,,Configured,,,
aa,Edit ,Burlingame,CA,USA,Non-owner,31 Mar 2016,Pacific Time,9:00 AM,In-Store,6 Apr 2018,7 Apr 2018,,,,,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,,,,RWD,Black,PUP,LR,,12 Apr 2018,,,,Configured,,,
aaa,Edit ,,CA,USA,Non-owner,31 Mar 2016,Pacific Time,8:00 PM,Online,13 Apr 2018,13 Apr 2018,,,,,,,,,,,,,,,,13 Apr 2018,,,,Configured,,,
